,mean Validation Error,1,2,Architecture,alpha,Activation Function
0,1.3851577341466117,1.2794310104390751,0.043816962377840586,[100],0.1,relu
1,1.9782574890506808,1.9785487978950889,0.05239130983610582,[100],0.1,sigmoid
2,1.4513975630925309,1.3693210449351163,0.0788722882373174,[100],1.0,relu
3,2.148395893007612,2.1532094588380053,0.011731918234546501,[100],1.0,sigmoid
4,1.5521164928114617,1.4994431849611272,0.01693161406305625,[100],5.0,relu
5,2.283604143149904,2.302853996363501,0.06622095015857024,[100],5.0,sigmoid
6,1.633611209150033,1.5967338948004581,0.0468526301397738,[100],10.0,relu
7,2.410520816522804,2.435094584658117,0.08141545109343959,[100],10.0,sigmoid
8,1.3066561997100643,0.9661795218917201,0.06829679124010639,[500],0.1,relu
9,1.7127845910993333,1.6735602569485901,0.032289857692688086,[500],0.1,sigmoid
10,1.2720565730418412,1.1206161964443724,0.044865668603411714,[500],1.0,relu
11,2.0418631453949043,2.0401242861108093,0.02320051616428536,[500],1.0,sigmoid
12,1.3219151744659292,1.244798898839489,0.03562231558754962,[500],5.0,relu
13,2.1466930756581144,2.1521267325781936,0.02118425207605645,[500],5.0,sigmoid
14,1.3600230084359706,1.3075319825582883,0.0380889401831695,[500],10.0,relu
15,2.1750675550169922,2.1874321773231857,0.012665325588045713,[500],10.0,sigmoid
16,1.2998845034666593,0.7985382323347543,0.03518862823553708,[1000],0.1,relu
17,1.5409614064914756,1.50334009850379,0.03003647643136778,[1000],0.1,sigmoid
18,1.2324501262461138,1.0268589607968064,0.03805329785112798,[1000],1.0,relu
19,1.9532044397751664,1.9441884765947757,0.02721848300932174,[1000],1.0,sigmoid
20,1.2857347468685436,1.173733054535606,0.03499608270347729,[1000],5.0,relu
21,2.1034704578544914,2.1062307289547153,0.014809691120370581,[1000],5.0,sigmoid
22,1.3202881519007712,1.226247839005759,0.038176805624509806,[1000],10.0,relu
23,2.141694237288042,2.1500881028718144,0.0153833996782532,[1000],10.0,sigmoid
24,1.3712143059361148,0.5892184535954962,0.033069565821071616,[2000],0.1,relu
25,1.4354048549625806,1.3817835654736514,0.03265769791443813,[2000],0.1,sigmoid
26,1.2148731490168871,0.9056784925604874,0.023810633893233665,[2000],1.0,relu
27,1.8430934516565072,1.8207028384011126,0.022181881789944936,[2000],1.0,sigmoid
28,1.238541351558776,1.0921516358738685,0.03455449935113197,[2000],5.0,relu
29,2.063012882042571,2.0618404156752366,0.023063659591461446,[2000],5.0,sigmoid
30,1.2689336436269272,1.1555512922258284,0.04020587760441609,[2000],10.0,relu
31,2.1111793207906775,2.1132894049532283,0.01379626107378798,[2000],10.0,sigmoid
