,mean Validation Error,Mean training,alpha
0,2.1897712792047703,2.1544256642810375,0.01
1,2.189769350736106,2.1544266431560084,0.02
2,2.1897674284241297,2.154427629535587,0.03
3,2.18976551226586,2.154428623427214,0.04
4,2.1897636022583145,2.154429624837865,0.05
5,2.1897616983985158,2.1544306337740324,0.060000000000000005
6,2.1897598006834866,2.1544316502417025,0.06999999999999999
7,2.189757909110253,2.154432674246336,0.08
8,2.1897560236758453,2.15443370579286,0.09
9,2.1897541443772908,2.154434744885646,0.09999999999999999
10,2.189752271211624,2.1544357915284977,0.11
11,2.1897504041758817,2.154436845724634,0.12
12,2.189748543267099,2.154437907476675,0.13
13,2.1897466884823147,2.15443897678664,0.14
14,2.1897448398185726,2.1544400536559234,0.15000000000000002
15,2.189742997272916,2.1544411380853017,0.16
16,2.189741160842393,2.154442230074906,0.17
17,2.18973933052405,2.154443329624238,0.18000000000000002
18,2.1897375063149394,2.154444436732147,0.19
19,2.1897356882121133,2.1544455513968357,0.2
20,2.189733876212628,2.154446673615856,0.21000000000000002
21,2.1897320703135406,2.1544478033861085,0.22
22,2.189730270511912,2.1544489407038485,0.23
23,2.189728476804805,2.154450085564677,0.24000000000000002
24,2.1897266891892824,2.1544512379635563,0.25
25,2.1897249076624123,2.154452397894807,0.26
26,2.1897231322212627,2.154453565352123,0.27
27,2.189721362862906,2.154454740328571,0.28
28,2.189719599584415,2.15445592281661,0.29000000000000004
29,2.1897178423828683,2.1544571128080885,0.3
30,2.189716091255341,2.1544583102942694,0.31
31,2.189714346198914,2.1544595152658346,0.32
32,2.1897126072106703,2.1544607277129106,0.33
33,2.189710874287696,2.1544619476250646,0.34
34,2.1897091474270765,2.1544631749913394,0.35000000000000003
35,2.1897074266259033,2.1544644098002608,0.36000000000000004
36,2.189705711881267,2.1544656520398573,0.37
37,2.1897040031902613,2.154466901697675,0.38
38,2.189702300549983,2.15446815876081,0.39
39,2.1897006039575313,2.1544694232159114,0.4
40,2.1896989134100058,2.1544706950492087,0.41000000000000003
41,2.1896972289045107,2.1544719742465372,0.42000000000000004
42,2.1896955504381515,2.15447326079335,0.43
43,2.1896938780080357,2.154474554674742,0.44
44,2.1896922116112716,2.154475855875476,0.45
45,2.1896905512449725,2.1544771643799994,0.46
46,2.1896888969062536,2.1544784801724615,0.47000000000000003
47,2.1896872485922323,2.154479803236745,0.48000000000000004
48,2.189685606300025,2.154481133556477,0.49
49,2.1896839700267545,2.154482471115053,0.5
50,2.1896823397695435,2.1544838158956665,0.51
51,2.189680715525519,2.1544851678813104,0.52
52,2.189679097291808,2.1544865270548117,0.53
53,2.1896774850655416,2.154487893398846,0.54
54,2.1896758788438517,2.154489266895956,0.55
55,2.189674278623873,2.154490647528574,0.56
56,2.189672684402743,2.1544920352790315,0.5700000000000001
57,2.1896710961776016,2.154493430129584,0.5800000000000001
58,2.1896695139455895,2.154494832062425,0.59
59,2.1896679377038506,2.1544962410597006,0.6
60,2.1896663674495325,2.1544976571035273,0.61
61,2.1896648031797814,2.1544990801760076,0.62
62,2.1896632448917503,2.1545005102592407,0.63
63,2.1896616925825896,2.1545019473353393,0.64
64,2.189660146249457,2.1545033913864398,0.65
65,2.189658605889508,2.154504842394716,0.66
66,2.1896570714999033,2.1545063003423945,0.67
67,2.1896555430778033,2.1545077652117537,0.68
68,2.1896540206203743,2.1545092369851506,0.6900000000000001
69,2.1896525041247825,2.154510715645015,0.7000000000000001
70,2.1896509935881965,2.1545122011738695,0.7100000000000001
71,2.1896494890077864,2.1545136935543368,0.72
72,2.1896479903807253,2.1545151927691353,0.73
73,2.1896464977041927,2.1545166988011055,0.74
74,2.18964501097536,2.1545182116332007,0.75
