Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time
9.0,1.6733200530681511,0.0,0.0,1000,0.001,0.1,0,rbf,0,0.027259111404418945,7,8,11,11,8,0,0,0,0,0
9.0,1.6733200530681511,0.0,0.0,10000,0.001,0.1,0,rbf,0,0.025974273681640625,7,8,11,11,8,0,0,0,0,0
9.0,1.6733200530681511,0.0,0.0,100000,0.001,0.1,0,rbf,0,0.031131505966186523,7,8,11,11,8,0,0,0,0,0
11.0,3.0983866769659336,0.0,0.0,10,0.001,1,0,rbf,0,0.008968114852905273,13,13,13,11,5,0,0,0,0,0
11.0,3.0983866769659336,0.0,0.0,100,0.001,1,0,rbf,0,0.008353710174560547,13,13,13,11,5,0,0,0,0,0
11.0,3.0983866769659336,0.0,0.0,1000,0.001,1,0,rbf,0,0.008314371109008789,13,13,13,11,5,0,0,0,0,0
11.0,3.0983866769659336,0.0,0.0,10000,0.001,1,0,rbf,0,0.008669614791870117,13,13,13,11,5,0,0,0,0,0
11.0,3.0983866769659336,0.0,0.0,100000,0.001,1,0,rbf,0,0.009389638900756836,13,13,13,11,5,0,0,0,0,0
11.2,1.6,4.2,0.9797958971132712,100,0.001,0.1,0,rbf,0,0.01390838623046875,13,10,13,11,9,6,3,4,4,4
11.6,2.5768197453450252,3.2,1.7204650534085253,100000,0.001,0.01,0,rbf,0,0.8828191757202148,11,14,14,12,7,6,3,2,4,1
11.8,2.0396078054371136,13.8,3.1240998703626617,10000,0.001,0.01,0,rbf,0,0.10795402526855469,9,11,15,13,11,14,16,8,14,17
12.6,1.3564659966250536,5.6,2.0591260281974,1,0.001,1,0,rbf,0,0.0075225830078125,12,12,13,15,11,4,6,3,9,6
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,0.0001,0,rbf,0,0.006703615188598633,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,0.001,0,rbf,0,0.007000446319580078,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,0.01,0,rbf,0,0.006634950637817383,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,0.1,0,rbf,0,0.0071032047271728516,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,1,0,rbf,0,0.006310701370239258,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,10,0,rbf,0,0.006724357604980469,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,100,0,rbf,0,0.0068759918212890625,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,1000,0,rbf,0,0.005490541458129883,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,10000,0,rbf,0,0.005330085754394531,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.0001,0.001,100000,0,rbf,0,0.005357265472412109,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.001,0.001,0.0001,0,rbf,0,0.005056142807006836,9,14,12,17,12,55,50,52,47,52
